"","mRNA_wt_rep1","mRNA_wt_rep2","mRNA_mt_rep1","mRNA_mt_rep2","Ribo_wt_rep1","Ribo_wt_rep2","Ribo_mt_rep1","Ribo_mt_rep2","gene_length"
"YNR032C-A",138,100,103,98,711,625,422,422,162
"YNR035C",2213,1639,1352,1227,7793,7993,2488,2732,969
"YNR036C",737,551,352,303,5300,4585,1740,1788,402
"YNR037C",450,366,191,142,2064,1857,387,429,216
"YNR039C",688,485,360,276,1131,1055,284,232,1758
"YNR041C",548,430,355,301,1873,1591,658,545,1059
"YNR049C",256,181,143,154,1249,1334,409,467,573
"YNR050C",1890,970,596,411,5974,4289,671,541,1281
"YNR051C",1939,1496,724,533,2328,2483,739,613,1488
"YNR052C",984,707,523,461,3379,3338,931,823,1242
"YNR053C",2093,1510,1991,1325,3160,2803,1478,1115,1933
"YNR054C",320,336,266,216,1781,1595,590,628,891
"YNR055C",1366,879,1183,993,1022,1051,652,714,1701
"YNR056C",36,23,40,23,0,0,0,1,1626
"YNR061C",928,581,564,285,1664,1521,506,546,600
"YNR062C",7,0,4,3,4,5,1,6,924
"YNR064C",37,18,2,8,62,64,10,8,813
"YNR065C",832,585,761,575,172,143,45,29,3291
"YNR066C",278,157,249,191,149,168,130,139,1251
"YNR067C",5146,3566,5331,5461,8238,9174,3795,4147,3294
"YNR068C",314,285,106,124,2,6,4,5,759
"YNR069C",755,486,185,219,188,238,48,73,1410
"YNR071C",26,17,8,6,75,55,4,3,969
"YNR073C",68,54,27,19,175,188,24,30,1449
"YNR074C",672,483,661,486,925,955,469,425,1077
"YNL327W",5836,3828,4621,4016,13176,13774,4982,4765,3066
"YNL323W",807,624,381,244,1919,1878,424,404,1185
"YNL321W",1564,922,648,603,2456,2227,398,411,2667
"YNL320W",471,363,240,173,1111,1111,447,372,795
"YNL317W",319,259,141,183,619,662,186,270,1338
"YNL314W",185,114,129,108,458,439,246,270,708
"YNL312W",550,396,220,139,2691,2412,395,342,870
"YNL309W",305,213,153,118,1427,1211,270,300,1203
"YNL306W",810,697,458,333,2899,2850,938,876,594
"YNL300W",977,543,229,114,3318,2157,741,468,249
"YNL299W",365,266,198,124,504,388,202,130,1869
"YNL298W",961,664,510,413,1528,1438,407,317,2469
"YNL295W",482,306,313,271,567,495,235,261,1515
"YNL293W",609,461,431,598,783,665,354,429,1842
"YNL292W",430,306,257,181,1175,1051,304,285,1152
"YNL290W",561,356,247,200,1630,1366,430,298,963
"YNL289W",1621,1065,454,249,3232,2912,739,461,780
"YNL288W",800,537,439,375,1905,1914,852,875,1062
"YNL287W",6493,4261,2647,2043,11315,10757,2479,2413,2748
"YNL286W",275,227,168,163,563,538,246,252,798
"YNL281W",4125,3010,741,484,18227,17011,1553,1332,402
"YNL279W",98,53,62,41,76,51,66,54,1926
"YNL278W",753,473,203,136,795,673,94,67,3123
"YNL277W-A",21,13,45,35,23,43,64,62,129
"YNL277W",47,33,33,39,61,64,31,48,1401
